,timestamp,symbol,open,high,low,close,volume,trade_count,SMA_20,SMA_50,SMA_100,Volatility,Bollinger_Upper,Bollinger_Lower,Momentum_5,sentiment_score,likes,weighted_sentiment,next_open
1357,2024-10-07 18:00:00+00:00,AAPL,223.87,223.9,223.55,223.685,19061.0,,224.69975,224.8893,225.2723,0.7222178947551721,226.14418578951035,223.25531421048964,-0.1349999999999909,0.0,0,0.0,223.665
1368,2024-10-07 18:15:00+00:00,AAPL,223.665,223.965,223.655,223.74,13455.0,,224.55225000000002,224.8916,225.24790000000002,0.5897827460123584,225.73181549202474,223.3726845079753,0.05500000000000682,0.0,0,0.0,223.63
1379,2024-10-07 18:30:00+00:00,AAPL,223.63,223.66,222.78,223.05,34826.0,,224.46325000000002,224.88049999999998,225.21654999999998,0.6700023787203606,225.80325475744073,223.1232452425593,-0.6899999999999977,0.0,0,0.0,223.06
1390,2024-10-07 18:45:00+00:00,AAPL,223.06,223.105,222.245,222.325,67752.0,,224.3245,224.85299999999998,225.17775,0.7987394756735795,225.92197895134717,222.72702104865283,-0.7250000000000227,0.0,0,0.0,222.26
1401,2024-10-07 19:00:00+00:00,AAPL,222.26,222.765,222.25,222.62,26750.0,,224.1995,224.824,225.16584999999998,0.8578955356013447,225.9152910712027,222.4837089287973,0.2950000000000159,0.0,0,0.0,222.58
1412,2024-10-07 19:15:00+00:00,AAPL,222.58,222.76,222.45,222.6,35732.0,,224.06350000000003,224.764,225.15744999999998,0.8846653321940892,225.8328306643882,222.29416933561185,-0.020000000000010232,0.0,0,0.0,222.6
1423,2024-10-07 19:30:00+00:00,AAPL,222.6,222.62,222.195,222.21,26020.0,,223.904,224.68939999999998,225.13395,0.9163263610761536,225.73665272215231,222.07134727784768,-0.38999999999998636,0.0,0,0.0,222.22
1434,2024-10-07 19:45:00+00:00,AAPL,222.22,222.56,221.33,221.74,112126.0,,223.72600000000003,224.62080000000003,225.09814999999998,0.9719434139824878,225.669886827965,221.78211317203505,-0.46999999999999886,0.0,0,0.0,224.26
1446,2024-10-08 13:30:00+00:00,AAPL,224.26,224.51,223.28,224.19,75368.0,,223.6855,224.6066,225.08095,0.9341545643031863,225.55380912860636,221.81719087139362,,0.0,0,0.0,224.29
1457,2024-10-08 13:45:00+00:00,AAPL,224.29,225.145,223.77,225.05,47436.0,,223.685,224.6178,225.07135,0.9334211268220229,225.55184225364405,221.81815774635595,0.8600000000000136,0.0,0,0.0,225.14
1468,2024-10-08 14:00:00+00:00,AAPL,225.14,225.845,224.62,224.64,78001.0,,223.67350000000002,224.60479999999998,225.05544999999998,0.92007214390345,225.51364428780693,221.8333557121931,-0.410000000000025,0.0,0,0.0,224.69
1479,2024-10-08 14:15:00+00:00,AAPL,224.69,225.09,224.55,224.9,37567.0,,223.67424999999997,224.602,225.04225,0.9210649746401336,225.51637994928024,221.8321200507197,0.2600000000000193,0.0,0,0.0,224.91
1490,2024-10-08 14:30:00+00:00,AAPL,224.91,225.725,224.85,225.575,38242.0,,223.72424999999998,224.61950000000002,225.02759999999998,0.992942942726057,225.7101358854521,221.73836411454786,0.674999999999983,0.0,0,0.0,225.61
1501,2024-10-08 14:45:00+00:00,AAPL,225.61,225.89,224.92,225.09,41003.0,,223.76425,224.6311,225.0104,1.0303376570315066,225.82492531406302,221.70357468593699,-0.4849999999999852,0.0,0,0.0,225.01
1512,2024-10-08 15:00:00+00:00,AAPL,225.01,225.18,224.705,224.92,27115.0,,223.80275,224.6327,224.9909,1.0580459288217121,225.91884185764343,221.68665814235658,-0.17000000000001592,0.0,0,0.0,224.86
1523,2024-10-08 15:15:00+00:00,AAPL,224.86,225.32,224.67,225.305,28252.0,,223.86849999999998,224.6282,224.97445,1.1073494254313843,226.08319885086274,221.65380114913722,0.3850000000000193,0.0,0,0.0,225.36
1534,2024-10-08 15:30:00+00:00,AAPL,225.36,225.46,225.08,225.4,21592.0,,223.9215,224.638,224.9606,1.1530710082214395,226.2276420164429,221.61535798355712,0.09499999999999886,0.0,0,0.0,225.475
1545,2024-10-08 15:45:00+00:00,AAPL,225.475,225.6,225.235,225.33,17170.0,,223.99699999999999,224.6458,224.9475,1.1927074243126734,226.38241484862533,221.61158515137464,-0.06999999999999318,0.0,0,0.0,225.26
1556,2024-10-08 16:00:00+00:00,AAPL,225.26,225.29,224.84,225.04,22978.0,,224.06149999999997,224.6378,224.929,1.2123253482535168,226.486150696507,221.63684930349294,-0.29000000000002046,0.0,0,0.0,225.045
1567,2024-10-08 16:15:00+00:00,AAPL,225.045,225.21,224.77,224.82,7080.0,,224.11149999999998,224.63099999999997,224.90779999999998,1.221917652713903,226.55533530542777,221.66766469457218,-0.21999999999999886,0.0,0,0.0,224.82
1578,2024-10-08 16:30:00+00:00,AAPL,224.82,224.97,224.71,224.71,7396.0,,224.16275000000002,224.62060000000002,224.8881,1.2244472987820838,226.61164459756418,221.71385540243585,-0.10999999999998522,0.0,0,0.0,224.77
1589,2024-10-08 16:45:00+00:00,AAPL,224.77,224.8,224.585,224.7,5930.0,,224.21075000000002,224.6122,224.8637,1.2257500509856118,226.66225010197124,221.7592498980288,-0.010000000000019327,0.0,0,0.0,224.68
1600,2024-10-08 17:00:00+00:00,AAPL,224.68,224.71,224.22,224.67,9344.0,,224.29175,224.5992,224.83965,1.1996168919677752,226.69098378393556,221.89251621606445,-0.030000000000001137,0.0,0,0.0,224.71
1611,2024-10-08 17:15:00+00:00,AAPL,224.71,224.8,224.425,224.74,5689.0,,224.4125,224.5964,224.81875,1.1140651910909478,226.64063038218188,222.1843696178181,0.0700000000000216,0.0,0,0.0,224.73
1622,2024-10-08 17:30:00+00:00,AAPL,224.73,224.97,224.72,224.81,8687.0,,224.522,224.5964,224.79825,1.0374962650576187,226.59699253011522,222.44700746988477,0.06999999999999318,0.0,0,0.0,224.73
1633,2024-10-08 17:45:00+00:00,AAPL,224.73,224.99,224.68,224.99,4730.0,,224.6415,224.595,224.77935000000002,0.9425312992116031,226.52656259842323,222.7564374015768,0.18000000000000682,0.0,0,0.0,224.9
